"ID","Category","Requirement Description","Priority","Status"
"FR-01","Report Management","","",""
"FR-01.1","Report Management","System shall allow users to create new safety/5S reports","High","Implemented"
"FR-01.2","Report Management","System shall support uploading multiple photos (up to 5) per report","High","Implemented"
"FR-01.3","Report Management","System shall automatically assign reports to designated PIC based on area","High","Implemented"
"FR-01.4","Report Management","System shall allow editing of report details (area, PIC, category, description, deadline)","High","Implemented"
"FR-01.5","Report Management","System shall allow deletion of reports with proper validation","Medium","Implemented"
"FR-01.6","Report Management","System shall allow viewing detailed report information","High","Implemented"
"FR-01.7","Report Management","System shall allow PIC to complete reports with resolution details and photos","High","Implemented"
"FR-02","Dashboard & Monitoring","","","
"FR-02.1","Dashboard & Monitoring","System shall display real-time statistics (total, in progress, completed reports)","High","Implemented"
"FR-02.2","Dashboard & Monitoring","System shall display monthly report trends in chart format","Medium","Implemented"
"FR-02.3","Dashboard & Monitoring","System shall display area distribution charts","Medium","Implemented"
"FR-02.4","Dashboard & Monitoring","System shall display problem category distribution charts","Medium","Implemented"
"FR-02.5","Dashboard & Monitoring","System shall provide filtering capabilities by date, area, PIC, and category","High","Implemented"
"FR-02.6","Dashboard & Monitoring","System shall support searching and sorting in data tables","Medium","Implemented"
"FR-03","Email Notification System","","","
"FR-03.1","Email Notification","System shall send email notification when report is assigned to PIC","High","Implemented"
"FR-03.2","Email Notification","System shall send email notification when report is edited","Medium","Implemented"
"FR-03.3","Email Notification","System shall send email notification with PDF attachment when report is completed","High","Implemented"
"FR-03.4","Email Notification","System shall send reminder email 2 working days before deadline (H-2)","High","Implemented"
"FR-03.5","Email Notification","System shall send daily reminder email for overdue reports","High","Implemented"
"FR-04","History & Archive","","","
"FR-04.1","History & Archive","System shall maintain history of all completed reports","High","Implemented"
"FR-04.2","History & Archive","System shall allow filtering of historical data","Medium","Implemented"
"FR-04.3","History & Archive","System shall support exporting completed reports to PDF format","Medium","Implemented"
"FR-05","Master Data Management","","","
"FR-05.1","Master Data","System shall allow CRUD operations for production areas","High","Implemented"
"FR-05.2","Master Data","System shall allow CRUD operations for departments and supervisors","High","Implemented"
"FR-05.3","Master Data","System shall allow CRUD operations for problem categories","High","Implemented"
"FR-05.4","Master Data","System shall allow CRUD operations for PIC (Person In Charge)","High","Implemented"
"FR-05.5","Master Data","System shall validate data integrity before deletion","Medium","Implemented"
